experiment_id,display_name,role,status,scope,primary_question,configuration_summary,results_file,manifest_path,held_reason,next_action
MAIN-VAL,Validation-led mainstream,mainstream,completed,5 domains x 2 VH x 10 seeds,Does Stage 2 improve a validation-selected Stage-1 network?,S1 validation-selected -> S2 training -> S2 validation-selected; policy curves and selected-checkpoint MCTS,experiment_tracking/experiment_results.csv,,,Policy experiment complete at 300/300 endpoints; do not routinely reprint unless requested
MAIN-TERM,Terminal-led mainstream,archived-sensitivity,completed-archived-20260910,5 domains x 2 VH x 10 seeds,Does Stage 2 improve the terminal Stage-1 network?,Completed evidence is retained for provenance only; validation-led is the sole primary branch from 2026-09-10,experiment_tracking/experiment_results.csv,,,Do not launch continuations training policy evaluations or MCTS evaluations; exclude terminal-led rows from primary RQ plots and tables
PRESERVE-3-VAL,Three-domain validation-led preservation replication,mainstream-extension,completed,Delivery/TPP/Zenotravel x 2 VH x 10 seeds,Do the three stable domains preserve their Stage-1 performance after validation-led Stage 2?,Same Stage-1/Stage-2 pipeline; selected and final policy endpoints; historical paths retain preserve4 labels only as immutable provenance,experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv,experiment_tracking/four_domain_preservation/stage1_training_submissions.tsv,,Zenotravel is preserved and Delivery is essentially preserved; TPP is not fully preserved because of one audited9/20 off-mode collapse
PRESERVE-3-TERM,Stable-domain terminal-led Stage-2 replication,archived-sensitivity,completed-archived-20260910,Delivery/TPP/Zenotravel x two VH x ten final Stage-1 checkpoints,Does Stage 2 preserve coverage when initialized from the Stage-1 final checkpoint?,Completed evidence is retained for provenance only; PRESERVE-3-VAL is the sole primary branch from 2026-09-10,experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv,experiment_tracking/four_domain_preservation/terminal_stage2_submissions.tsv,,Do not launch continuations or further evaluations; exclude from primary preservation plots and tables
MPRIME-VAL,MPrime validation redesign,corrective,completed-reclassified,MPrime validation selection and corrected Stage-1 replication,Repair structurally unrepresentative validation generation and rerun Stage 1,Versioned IPC-scale set; fresh ten-seed/VH Stage 1; 290-checkpoint validation/test agreement and learning-curve audit,experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_checkpoint_audit.csv,experiment_tracking/mprime_validation_ipc_scale_v1/stage1_corrected_validation_manifest.csv,,Corrected Stage1 and all 290 policy jobs are terminal; validation improves selected versus final means but pooled Spearman agreement is about 0.25; preservation failed so MPrime moves to the six-domain imperfect extension
MAIN-EXT6-MPRIME,Six-domain imperfect mainstream extension,mainstream-extension,completed-policy-with-validation-audit,MPrime x two VH x ten seeds after corrected Stage-1 selection,Do MAIN-VAL conclusions extend from the original five imperfect domains to MPrime as a sixth?,Corrected validation-selected S1 to anchor10 S2 to validation-selected S2; four tuning winners reused and sixteen new jobs,experiment_tracking/mprime_validation_ipc_scale_v1/validation_led_stage2_selected_statistics_20260903.csv,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_corrected_frozen_20260901.csv,Existing validation is weak for Stage1 ranking and saturated for Stage2 selection,Retain results as provisional extension and complete MPRIME-VAL-ADEQUACY before further MPrime training
MAIN-TERM-EXT6-MPRIME,MPrime terminal-led mainstream extension,archived-sensitivity,completed-policy-archived-20260910,MPrime x two VH x ten corrected Stage-1 final checkpoints,Does Stage 2 improve the corrected terminal Stage-1 MPrime network?,Completed evidence is retained for provenance only; future MPrime work is validation-led after Phase B,experiment_tracking/mprime_validation_ipc_scale_v1/terminal_led_stage2_selected_statistics_20260902.csv,experiment_tracking/mprime_validation_ipc_scale_v1/terminal_led_stage2_selected_results_20260902.csv,,Do not launch terminal-led continuations or evaluations; exclude from primary RQ plots and tables
ANCHOR-4,Stage-2 anchor selection,tuning,completed,Delivery/TPP/Zenotravel frozen; MPrime anchor10 frozen both VH from588/588 points,Select Stage-2 anchor coefficient without test-set tuning,Two tuning seeds x two VH x seven coefficients; validation-AUC selection with peak/final tie-break,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_corrected_frozen_20260901.csv,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_manifest.csv,,MPrime anchor10 wins both VH; validation-stability audit remains separate
MCTS-WIDTH,MCTS fixed-width sensitivity,search-sensitivity,completed,Block Grouping and Counters primary corrections,Does width 5 avoid waste/timeouts relative to width 20?,Width 5 vs 20; retain normal simulation budget; never use obsolete width-5/3 or width-5/70 as primary,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_summary_10seed.csv,,,Counters Stage1 and Stage2 are terminal; Stage2 off is 36.7/59 at 2h/6h versus policy 36.9 and on is 26.4/59 at 2h or 27.1/59 at 6h versus policy 21.8; post-hoc VAL jobs 20768679--20768681 found zero invalid plans
MCTS-PW,MCTS progressive-widening pilot,search-sensitivity,completed,Drone x 2 VH x 5 seeds,Can adaptive policy-ordered widening improve coverage/runtime/memory?,70 simulations; top20 reused; top5 and PW c=0.6/1.0; horizon off; compact profiling,experiment_tracking/mcts_progressive_widening_pilot/summary.csv,experiment_tracking/mcts_progressive_widening_pilot/manifest.csv,Runs use pre-MCTS-SAFE external action selection,30/30 terminal and VAL-valid; PW is significantly faster and retains far fewer nodes but significantly loses coverage
MCTS-SAFE,MCTS terminal-safety correction,search-correctness,completed-diagnostic,Four targeted Drone policy-only-loss instances,Can safe external action masking prevent MCTS from converting policy successes into battery dead ends?,Mask terminal non-goal children before duplicate avoidance; restore safe duplicates before terminal actions; invariant checks and compact event logging,experiment_tracking/mcts_safe_drone/targeted_results_20260828.csv,experiment_tracking/mcts_safe_drone/manifest.csv,Two of four targeted failures repaired; broad diagnostic tails cancelled once all targets were assessed,SAFE-1 is useful but incomplete; MCTS-SAFE-CONTEXT and MCTS-SAFE-2 are separately documented follow-ups
MCTS-SAFE2,Fully horizon-indexed MCTS safety,search-correctness,held-low-priority,Future matched horizon-binding instances,Does indexing statistics by physical state and remaining executable horizon prevent cross-horizon value contamination?,Exact node identity is physical state plus remaining horizon; physical identity still governs cycle safety; horizon-specific Q visits goals and children,,,Drone and Drone750 were nonresults and live Counters still has zero cutoffs; multiplicative memory risk,Activate only after nonzero cutoffs and measurable cross-horizon state reuse establish a contamination mechanism
MCTS-SAFE-CONTEXT,Action-history-aware MCTS transpositions,search-correctness,completed-negative,Four-domain three-instance diagnostics plus Drone matched physical/contextual evaluation,Does physical-state aliasing across different action-count network inputs distort priors values coverage and efficiency?,Physical cycle key plus fixed 128-bit action_count-only digest; each context owns policy value children priors visits; bounded witnesses,experiment_tracking/mcts_safe_context/live_reconciliation_20260831.csv,experiment_tracking/mcts_safe_context/full_manifest.csv,,Ten matched pairs are terminal; contextual nodes reduce VH-off by 0.4 and VH-on by 3.4 plans; neither VH result survives Holm correction; retain diagnostics but do not promote behavior
MCTS-HORIZON,MCTS remaining-horizon sensitivity,search-correctness,completed-nonresult,Drone x 2 VH x 5 matched seeds x aware/unaware,Does a binding finite executable horizon prevent unreachable-depth waste?,Fresh same-commit aware/unaware width20/70 SAFE1 arms; 750-action limit; PW disabled,experiment_tracking/mcts_horizon_binding/results.csv,experiment_tracking/mcts_horizon_binding/manifest.csv,,All twenty arms and post-hoc VAL are complete; paired mean change is zero with 95 percent CI -0.89 to 0.89 and sign-flip p 1.0; almost no cutoffs bound so Counters is the proper efficacy follow-up
MCTS-HORIZON-COUNTERS,Counters remaining-horizon efficacy,search-correctness,completed-negative,Counters x two VH x two matched seeds x aware/unaware,Does horizon enforcement help where executions genuinely approach ten thousand actions?,Fresh same-commit normal width20/70 aware/unaware pilot; PW disabled; retain the declared ten-thousand-action cap,experiment_tracking/status_20260905_latest.md,experiment_tracking/mcts_horizon_binding/counters_manifest.csv,,Freeze as a non-result: both VH modes have zero aware-minus-unaware change at6h and zero recorded cutoffs.
MCTS-PW-SAFE,SAFE progressive-widening sensitivity,search-sensitivity,extension-completed,Initial Drone two-seed four-arm gate plus Kmin3 extension on four additional seeds in both VH modes,Can extra initial width faster widening or 140 simulations recover PW coverage while retaining efficiency?,SAFE baseline Kmin2; Kmin3; alpha0.65; 140 simulations; compact child visit and depth histograms; eight-job Kmin3 extension,experiment_tracking/mcts_progressive_widening_sensitivity/results.csv,experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_extension_manifest.csv,,All eight Kmin3 jobs are terminal; Kmin3 averages 9.5 versus policy 7.0 and top20 10.5; freeze rather than silently expanding
MCTS-PW-CROSS-DOMAIN,Mixed-budget cross-domain progressive-widening screen,search-sensitivity,completed-screen,Block Grouping FO Counters Rover and Counters with two seeds and both VH modes,Does Kmin3 retain fixed-search coverage while reducing runtime outside Drone?,SAFE Kmin3 c0.6 alpha0.5 Kmax20; Block Grouping and Counters use twenty simulations against fixed narrow 5/20 while FO Counters and Rover use seventy against fixed normal 20/70,experiment_tracking/mcts_progressive_widening_cross_domain/comparative_summary_20260901_1022.csv,experiment_tracking/mcts_progressive_widening_cross_domain/pilot_manifest.csv,,20/20 terminal and printed plans VAL-confirmed; never label the whole screen PW20 because the eight FO Counters/Rover rows use PW70
