area,baseline_from_numeric_asnets_work,thesis_change,current_hyperparameters,reason,status,effect_or_evidence,code_or_result_source
training objective,Supervised imitation of an ENHSP teacher,Stage 1 retains imitation; Stage 2 optionally retrains from MCTS visit distributions,"Stage 2 MCTS_VISIT_DIST; LR 0.0003; 100 epochs",Test whether search-generated targets refine a trained policy,primary intervention,"No corrected-significant general Stage-2 policy gain; domain-specific tendencies",asnets/asnets/supervised.py;experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv
checkpoint selection,Original workflow primarily stopped on training success,Use a separate generated validation set and validation-selected checkpoints,"30 validation instances in easy/medium/hard tiers; 10 matched seeds",Avoid test-set selection and quantify generalization,primary methodology,"Deployable but sometimes weak/saturated; MPrime Phase B audits this explicitly",problem_generator/generate_validation_instances.py;experiment_tracking/mprime_validation_ipc_scale_v1
value head,Policy network is the core Numeric ASNet output,Add optional state-value head and test it as a factorial axis,"VH off/on; MSE coefficient 0.5 in MCTS training",Supply leaf values and test whether value learning helps refinement/search,primary RQ axis,"No general Stage-2 training benefit; strong MCTS interaction only in Drone",experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv
inference,Direct policy argmax,Add inference-time MCTS before each external action,"normal: top 20 children, 70 simulations, PUCT 0.1, ENHSP/network estimator mix 0.5",Test whether local search repairs imperfect policies,primary intervention,"Large significant gains in FO Counters and Drone/VH-on; neutral or harmful cells also exist",experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv;experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
search budget,No MCTS tree in the paper policy inference,Use fixed per-decision simulation/width budgets,"normal 20/70; narrow 5/20 for Block Grouping and Counters",Normal budget provides useful breadth; narrow budget was introduced to control extreme cost/memory,domain-specific primary,"Narrow reaches parity in some cells but can diverge badly in Counters",experiment_tracking/mcts_counters_width_sensitivity
PUCT,Not applicable to direct policy inference,Use policy-guided PUCT,"exploration constant 0.1",Small exploration weight preserves network ordering while allowing alternatives,adopted fixed setting,"Not isolated causally; PUCT-EST sensitivity remains held",asnets/asnets/monte_carlo_tree_search.py;experiment_tracking/experiments.csv
leaf estimate,Not applicable to direct policy inference,Mix learned value/ENHSP heuristic at MCTS leaves,"estimator coefficient 0.5",Balance task-specific heuristic guidance with network estimates,adopted fixed setting,"Not isolated causally; PUCT-EST sensitivity remains held",asnets/asnets/monte_carlo_tree_search.py;experiment_tracking/experiments.csv
Stage-2 anchoring,No Stage-2 fine-tuning stage,KL penalty against the Stage-1 policy,"domain/VH coefficient selected on validation; constant mode primary",Reduce catastrophic drift while permitting MCTS-guided updates,adopted,"Generally preserves stable domains; one TPP/off seed still collapsed",experiment_tracking/four_domain_preservation;experiment_tracking/mprime_validation_ipc_scale_v1
adaptive KL,No Stage-2 fine-tuning stage,Target-KL controller as a focused catastrophic-seed diagnostic,"minimum coefficient 3; target band from stable/outlier diagnostics",Test whether actual KL control prevents first-update collapse,experimental live/diagnostic,"Initial runs stayed at minimum coefficient because observed validation KL was below the band; test evaluation still required",scripts/anchor_kl_adaptive_tpp.sbatch
evaluation budget,Paper-style evaluation used a 30-minute instance limit,Primary runs allow up to six hours per instance and are also reclassified at 30m and 2h,"30m / 2h / 6h columns; 10000 external-action cap",Avoid censoring expensive MCTS while retaining paper-comparable cutoffs,reporting methodology,"Many gains occur by 30m; Block Grouping often needs longer; exact step-at-30m needs new instrumentation",experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv
terminal safety,Direct policy inference had no search-node terminal choice,Mask known terminal non-goal children when a safe alternative exists,"MCTS-SAFE-1 external action selection",Prevent search from deliberately selecting a known dead end,adopted,"Repaired 2 of 4 targeted Drone failures; useful but incomplete",experiment_tracking/mcts_safe_drone/targeted_results_20260828.csv
progressive widening,Not applicable,Policy-ordered progressive widening with bounded initial width,"Kmin 3; c 0.6; alpha 0.5; Kmax 20; usually 70 simulations",Reduce successor generation and runtime while preserving useful search,experimental,"Strong significant FO Counters gains; approximate Rover parity; Drone and Counters losses prevent universal adoption",experiment_tracking/mcts_progressive_widening_cross_domain
remaining horizon,Not applicable,Prevent search below the remaining external-action horizon,"aware/unaware matched arms; 750 or 10000 action cap",Avoid statistics for unreachable depths,experimental rejected/nonbinding,"Near-zero cutoffs and no benefit; not adopted",experiment_tracking/mcts_horizon_binding
contextual transpositions,Not applicable,Key MCTS nodes by physical state plus action-count digest,"128-bit action-count-only digest; physical-state cycle checks",Avoid reusing network predictions across different history features,experimental rejected,"Multiplied nodes and reduced coverage especially VH-on; not adopted",experiment_tracking/mcts_safe_context
action history,Cumulative per-grounded-action counts are enabled in the implementation,Retained unchanged in primary networks,"USE_ACT_HISTORY_FEATURES=True",Preserve the original empirically motivated input feature,retained; ablation held,"Context diagnostic shows outputs can differ; full no-history retraining is not yet run",asnets/experiments_numeric/architecture/actprop_2l_comparison.py;experiment_tracking/experiments.csv
statistics and provenance,Published aggregate coverage,Ten matched seeds paired intervals exact sign-flip tests Holm correction and row-level job/log provenance,"95% paired t CI; exact two-sided sign flip; Holm within declared families",Make uncertainty/multiplicity and reproducibility explicit,primary methodology,"Every advisor statistical table points to seed/job/log ledgers",experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv
